2024-07-03 13:57:59.418576;699;H=70;T=27;Hs=41.14713;sp=20;sf=7;rx_timestamp=5984420; rssi=-95; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 13:59:24.392860;703;H=72;T=27;Hs=41.00463;sp=20;sf=7;rx_timestamp=91521777; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:00:50.064537;707;H=72;T=27;Hs=41.04025;sp=20;sf=7;rx_timestamp=177086973; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:02:16.900774;711;H=74;T=27;Hs=41.04025;sp=20;sf=7;rx_timestamp=262624103; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:03:40.938746;715;H=74;T=26;Hs=40.82651;sp=20;sf=7;rx_timestamp=348163179; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:05:12.583694;719;H=75;T=26;Hs=41.00463;sp=20;sf=7;rx_timestamp=440003225; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:06:37.935406;723;H=75;T=26;Hs=41.00463;sp=20;sf=7;rx_timestamp=525546227; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:08:03.960602;727;H=75;T=26;Hs=40.86213;sp=20;sf=7;rx_timestamp=611084229; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:09:29.408355;731;H=76;T=26;Hs=40.89776;sp=20;sf=7;rx_timestamp=696627200; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:10:54.990264;735;H=76;T=26;Hs=40.43463;sp=20;sf=7;rx_timestamp=782183156; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:12:20.423535;739;H=79;T=26;Hs=40.43463;sp=20;sf=7;rx_timestamp=867724095; rssi=-89; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:13:47.933685;743;H=81;T=26;Hs=40.22088;sp=20;sf=7;rx_timestamp=955357037; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:15:13.986410;747;H=82;T=26;Hs=40.43463;sp=20;sf=7;rx_timestamp=1040896970; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:16:38.931838;751;H=79;T=25;Hs=40.07838;sp=20;sf=7;rx_timestamp=1126436896; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:18:04.465991;755;H=81;T=25;Hs=40.29212;sp=20;sf=7;rx_timestamp=1211977811; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:19:30.493520;759;H=81;T=25;Hs=40.2565;sp=20;sf=7;rx_timestamp=1297515685; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:20:55.948816;763;H=80;T=25;Hs=39.90025;sp=20;sf=7;rx_timestamp=1383069653; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:22:23.489037;767;H=79;T=25;Hs=40.00713;sp=20;sf=7;rx_timestamp=1470706565; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:23:50.935557;771;H=82;T=25;Hs=39.79338;sp=20;sf=7;rx_timestamp=1558346496; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:25:16.471408;775;H=82;T=25;Hs=40.2565;sp=20;sf=7;rx_timestamp=1643885383; rssi=-91; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:26:44.453650;779;H=81;T=25;Hs=39.75775;sp=20;sf=7;rx_timestamp=1731571368; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:28:10.002836;783;H=81;T=25;Hs=39.90025;sp=20;sf=7;rx_timestamp=1817110317; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:29:37.450354;787;H=86;T=24;Hs=39.50837;sp=20;sf=7;rx_timestamp=1904742263; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:31:02.982372;791;H=86;T=24;Hs=39.33025;sp=20;sf=7;rx_timestamp=1990284222; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:32:31.001290;795;H=84;T=24;Hs=39.86462;sp=20;sf=7;rx_timestamp=2077921189; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:33:57.311415;799;H=83;T=24;Hs=39.47275;sp=20;sf=7;rx_timestamp=2163457168; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:35:21.486475;803;H=86;T=24;Hs=39.544;sp=20;sf=7;rx_timestamp=2248998047; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:36:47.445986;807;H=86;T=24;Hs=39.90025;sp=20;sf=7;rx_timestamp=2334537117; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:38:12.972393;811;H=88;T=24;Hs=39.75775;sp=20;sf=7;rx_timestamp=2420079091; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:39:38.509539;815;H=89;T=24;Hs=39.72212;sp=20;sf=7;rx_timestamp=2505617052; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:41:04.460962;819;H=89;T=24;Hs=40.04275;sp=20;sf=7;rx_timestamp=2591170022; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:42:29.525981;823;H=87;T=24;Hs=39.57963;sp=20;sf=7;rx_timestamp=2676709988; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:43:55.080236;827;H=86;T=24;Hs=39.29462;sp=20;sf=7;rx_timestamp=2762275955; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:45:20.970704;831;H=86;T=24;Hs=39.4015;sp=20;sf=7;rx_timestamp=2847874891; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:46:46.019403;835;H=87;T=24;Hs=39.18775;sp=20;sf=7;rx_timestamp=2933407898; rssi=-91; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:48:11.446532;839;H=86;T=24;Hs=39.25899;sp=20;sf=7;rx_timestamp=3018943872; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:49:36.971579;843;H=85;T=24;Hs=39.29462;sp=20;sf=7;rx_timestamp=3104473844; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:51:03.022978;847;H=86;T=24;Hs=39.04525;sp=20;sf=7;rx_timestamp=3190006825; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:52:28.102794;851;H=85;T=24;Hs=38.90274;sp=20;sf=7;rx_timestamp=3275538811; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:53:53.981341;855;H=85;T=24;Hs=38.72462;sp=20;sf=7;rx_timestamp=3361070808; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:55:19.507061;859;H=85;T=24;Hs=38.72462;sp=20;sf=7;rx_timestamp=3446603791; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:56:45.441694;863;H=84;T=24;Hs=38.76025;sp=20;sf=7;rx_timestamp=3532135794; rssi=-92; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:58:10.611705;867;H=82;T=24;Hs=38.65337;sp=20;sf=7;rx_timestamp=3617718794; rssi=-93; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 14:59:35.960349;871;H=83;T=25;Hs=38.72462;sp=20;sf=7;rx_timestamp=3703248793; rssi=-93; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:01:02.135152;875;H=82;T=25;Hs=38.65337;sp=20;sf=7;rx_timestamp=3788781787; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:02:27.544018;879;H=80;T=25;Hs=38.83149;sp=20;sf=7;rx_timestamp=3874313782; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:03:52.950179;883;H=81;T=25;Hs=38.54649;sp=20;sf=7;rx_timestamp=3959845762; rssi=-94; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;887;H=81;T=25;Hs=38.36836;sp=20;sf=7;rx_timestamp=4045377760; rssi=-92; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:06:43.939955;891;H=81;T=25;Hs=38.40399;sp=20;sf=7;rx_timestamp=4130924747; rssi=-92; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;895;H=81;T=26;Hs=38.61774;sp=20;sf=7;rx_timestamp=4216457730; rssi=-92; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 15:09:34.504174;899;H=80;T=26;Hs=38.29712;sp=20;sf=7;rx_timestamp=7026422; rssi=-92; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
