0000;1160;H=80;T=25;Hs=69.04168;sp=20;sf=12;rx_timestamp=70656378; rssi=-42; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:44:31.620836;1164;H=80;T=25;Hs=68.93481;sp=20;sf=12;rx_timestamp=156213472; rssi=-41; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:45:57.560419;1168;H=83;T=25;Hs=68.68543;sp=20;sf=12;rx_timestamp=241752510; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:47:22.600580;1172;H=82;T=25;Hs=68.97043;sp=20;sf=12;rx_timestamp=327291529; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:48:48.042550;1176;H=84;T=24;Hs=68.75669;sp=20;sf=12;rx_timestamp=412832509; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:50:15.078962;1180;H=83;T=24;Hs=68.82793;sp=20;sf=12;rx_timestamp=498370488; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:51:39.120078;1184;H=83;T=24;Hs=68.57855;sp=20;sf=12;rx_timestamp=583908468; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:53:05.065375;1188;H=83;T=25;Hs=68.82793;sp=20;sf=12;rx_timestamp=669452408; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:54:30.102149;1192;H=83;T=25;Hs=68.57855;sp=20;sf=12;rx_timestamp=754988331; rssi=-44; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1196;H=80;T=25;Hs=68.97043;sp=20;sf=12;rx_timestamp=840533264; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:57:21.612903;1200;H=79;T=25;Hs=68.82793;sp=20;sf=12;rx_timestamp=926098190; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 15:58:47.049104;1204;H=79;T=25;Hs=68.93481;sp=20;sf=12;rx_timestamp=1011637104; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:00:12.599521;1208;H=80;T=25;Hs=68.61418;sp=20;sf=12;rx_timestamp=1097180018; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:01:38.100807;1212;H=80;T=25;Hs=68.68543;sp=20;sf=12;rx_timestamp=1182782930; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:03:03.641482;1216;H=83;T=25;Hs=68.3648;sp=20;sf=12;rx_timestamp=1268319802; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1220;H=83;T=24;Hs=68.75669;sp=20;sf=12;rx_timestamp=1355956742; rssi=-44; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:05:57.117634;1224;H=83;T=24;Hs=68.75669;sp=20;sf=12;rx_timestamp=1441493653; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:07:22.060933;1228;H=86;T=24;Hs=68.61418;sp=20;sf=12;rx_timestamp=1527034563; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:08:47.597514;1232;H=88;T=24;Hs=68.3648;sp=20;sf=12;rx_timestamp=1612577427; rssi=-43; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 16:10:13.635993;1236;H=84;T=24;Hs=68.43605;sp=20;sf=12;rx_timestamp=1698113368; rssi=-42; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
