2024-06-28 14:12:14.143759;416;H=36;T=40;Hs=30.17457;sp=20;sf=12;rx_timestamp=332388355; rssi=-88; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:12:34.637588;417;H=39;T=39;Hs=29.35519;sp=2;sf=7;rx_timestamp=352648258; rssi=-99; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:12:57.609939;418;H=39;T=39;Hs=29.35519;sp=2;sf=12;rx_timestamp=375691160; rssi=-102; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:13:16.607731;419;H=39;T=39;Hs=29.35519;sp=20;sf=7;rx_timestamp=394888149; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:13:59.641122;421;H=39;T=40;Hs=29.56893;sp=2;sf=7;rx_timestamp=438184945; rssi=-99; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:14:23.063340;422;H=39;T=40;Hs=29.56893;sp=2;sf=12;rx_timestamp=461227852; rssi=-104; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:14:41.631527;423;H=39;T=40;Hs=29.56893;sp=20;sf=7;rx_timestamp=480420830; rssi=-87; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:15:04.575708;424;H=39;T=40;Hs=29.56893;sp=20;sf=12;rx_timestamp=503463734; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:15:25.637686;425;H=41;T=39;Hs=29.03456;sp=2;sf=7;rx_timestamp=523721623; rssi=-104; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:15:48.078531;426;H=41;T=39;Hs=29.03456;sp=2;sf=12;rx_timestamp=546762520; rssi=-104; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:29:42.583594;465;H=34;T=40;Hs=28.71393;sp=2;sf=7;rx_timestamp=1381234099; rssi=-102; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:30:06.107286;466;H=34;T=40;Hs=28.71393;sp=2;sf=12;rx_timestamp=1404272988; rssi=-104; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:30:25.097663;467;H=34;T=40;Hs=28.71393;sp=20;sf=7;rx_timestamp=1423467960; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:30:49.143143;468;H=34;T=40;Hs=28.71393;sp=20;sf=12;rx_timestamp=1446508853; rssi=-88; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:31:08.593222;469;H=36;T=41;Hs=28.57143;sp=2;sf=7;rx_timestamp=1466764733; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:31:31.638087;470;H=36;T=41;Hs=28.57143;sp=2;sf=12;rx_timestamp=1489803631; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:31:50.629238;471;H=36;T=41;Hs=28.57143;sp=20;sf=7;rx_timestamp=1508996603; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:32:13.566230;472;H=36;T=41;Hs=28.57143;sp=20;sf=12;rx_timestamp=1532037498; rssi=-88; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:32:34.127222;473;H=35;T=41;Hs=28.67831;sp=2;sf=7;rx_timestamp=1552292374; rssi=-104; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:32:57.064598;474;H=35;T=41;Hs=28.67831;sp=2;sf=12;rx_timestamp=1575333263; rssi=-104; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:33:16.066191;475;H=35;T=41;Hs=28.67831;sp=20;sf=7;rx_timestamp=1594528236; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:33:39.097636;476;H=35;T=41;Hs=28.67831;sp=20;sf=12;rx_timestamp=1617568128; rssi=-89; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:34:22.596703;478;H=36;T=41;Hs=28.42893;sp=2;sf=12;rx_timestamp=1660861915; rssi=-103; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:34:41.087668;479;H=36;T=41;Hs=28.42893;sp=20;sf=7;rx_timestamp=1680054881; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:35:04.634194;480;H=36;T=41;Hs=28.42893;sp=20;sf=12;rx_timestamp=1703097776; rssi=-88; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:35:25.088612;481;H=39;T=39;Hs=28.78518;sp=2;sf=7;rx_timestamp=1723353658; rssi=-104; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:35:47.701272;482;H=39;T=39;Hs=28.78518;sp=2;sf=12;rx_timestamp=1746392552; rssi=-104; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:36:07.127492;483;H=39;T=39;Hs=28.78518;sp=20;sf=7;rx_timestamp=1765585523; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:36:30.566568;484;H=39;T=39;Hs=28.78518;sp=20;sf=12;rx_timestamp=1788626421; rssi=-88; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:36:52.243774;485;H=41;T=37;Hs=28.67831;sp=2;sf=7;rx_timestamp=1810970284; rssi=-104; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:37:15.228811;486;H=41;T=37;Hs=28.67831;sp=2;sf=12;rx_timestamp=1834014173; rssi=-104; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:37:35.145075;487;H=41;T=37;Hs=28.67831;sp=20;sf=7;rx_timestamp=1853207152; rssi=-87; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:37:57.582646;488;H=41;T=37;Hs=28.67831;sp=20;sf=12;rx_timestamp=1876248047; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:38:17.769071;489;H=40;T=37;Hs=29.03456;sp=2;sf=7;rx_timestamp=1896502931; rssi=-103; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:38:41.082625;490;H=40;T=37;Hs=29.03456;sp=2;sf=12;rx_timestamp=1919541819; rssi=-103; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:39:00.074469;491;H=40;T=37;Hs=29.03456;sp=20;sf=7;rx_timestamp=1938734802; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:39:23.111036;492;H=40;T=37;Hs=29.03456;sp=20;sf=12;rx_timestamp=1961775687; rssi=-88; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:39:43.075577;493;H=41;T=36;Hs=28.92768;sp=2;sf=7;rx_timestamp=1982030577; rssi=-103; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-06-28 14:40:06.614409;494;H=41;T=36;Hs=28.92768;sp=2;sf=12;rx_timestamp=2005073458; rssi=-103; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
