2024-07-02 09:44:24.620479;151;H=48;T=36;Hs=28.28643;sp=20;sf=7;rx_timestamp=2178644907; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:45:49.634523;155;H=45;T=38;Hs=28.2508;sp=20;sf=7;rx_timestamp=2264177494; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:47:15.602297;159;H=38;T=40;Hs=28.14392;sp=20;sf=7;rx_timestamp=2349735150; rssi=-103; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:48:41.127207;163;H=38;T=41;Hs=27.96581;sp=20;sf=7;rx_timestamp=2435269763; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;167;H=38;T=41;Hs=27.36017;sp=20;sf=7;rx_timestamp=2520802379; rssi=-109; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:51:31.647507;171;H=35;T=41;Hs=27.71642;sp=20;sf=7;rx_timestamp=2606334990; rssi=-110; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:52:58.639093;175;H=37;T=41;Hs=27.32455;sp=20;sf=7;rx_timestamp=2691869604; rssi=-111; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;179;H=38;T=41;Hs=27.28892;sp=20;sf=7;rx_timestamp=2777403219; rssi=-101; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:55:50.694847;183;H=36;T=43;Hs=27.18204;sp=20;sf=7;rx_timestamp=2865029810; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:57:16.164268;187;H=31;T=42;Hs=27.07517;sp=20;sf=7;rx_timestamp=2950570415; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
