2024-07-05 14:45:24.098834;958;H=39;T=38;Hs=59.81475;sp=2;sf=12;rx_timestamp=91706840; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:46:49.718687;962;H=40;T=38;Hs=59.81475;sp=2;sf=12;rx_timestamp=177239607; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:48:15.055951;966;H=37;T=39;Hs=59.81475;sp=2;sf=12;rx_timestamp=262770322; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:49:40.097262;970;H=38;T=39;Hs=59.99288;sp=2;sf=12;rx_timestamp=348301013; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:51:06.028494;974;H=37;T=38;Hs=59.95725;sp=2;sf=12;rx_timestamp=433838682; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:52:31.554625;978;H=38;T=37;Hs=60.13538;sp=2;sf=12;rx_timestamp=519365343; rssi=-120; snr=-7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:53:57.088735;982;H=39;T=36;Hs=59.81475;sp=2;sf=12;rx_timestamp=604897004; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:55:22.567910;986;H=42;T=36;Hs=59.99288;sp=2;sf=12;rx_timestamp=690477647; rssi=-118; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:56:48.103995;990;H=40;T=36;Hs=59.81475;sp=2;sf=12;rx_timestamp=776007283; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:58:13.531787;994;H=40;T=37;Hs=59.63663;sp=2;sf=12;rx_timestamp=861534911; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 14:59:39.068614;998;H=37;T=38;Hs=59.63663;sp=2;sf=12;rx_timestamp=947070533; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:01:04.606663;1002;H=40;T=39;Hs=59.92163;sp=2;sf=12;rx_timestamp=1032603188; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:02:30.547923;1006;H=35;T=40;Hs=59.63663;sp=2;sf=12;rx_timestamp=1118148804; rssi=-117; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:03:56.077158;1010;H=34;T=40;Hs=59.92163;sp=2;sf=12;rx_timestamp=1203679420; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:05:21.607397;1014;H=35;T=41;Hs=59.99288;sp=2;sf=12;rx_timestamp=1289208023; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:06:51.124301;1018;H=34;T=41;Hs=59.81475;sp=2;sf=12;rx_timestamp=1378923606; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:08:16.558306;1022;H=34;T=41;Hs=59.85037;sp=2;sf=12;rx_timestamp=1464452203; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:09:42.086843;1026;H=34;T=42;Hs=60.27788;sp=2;sf=12;rx_timestamp=1549980802; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:11:07.574745;1030;H=34;T=42;Hs=60.171;sp=2;sf=12;rx_timestamp=1635363680; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:12:33.068282;1034;H=34;T=41;Hs=59.92163;sp=2;sf=12;rx_timestamp=1721055000; rssi=-112; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:13:58.604643;1038;H=39;T=38;Hs=59.85037;sp=2;sf=12;rx_timestamp=1806589593; rssi=-117; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1042;H=44;T=34;Hs=59.81475;sp=2;sf=12;rx_timestamp=1892128185; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:16:50.537755;1046;H=51;T=33;Hs=60.09975;sp=2;sf=12;rx_timestamp=1977667800; rssi=-116; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:18:17.617898;1050;H=55;T=31;Hs=59.7435;sp=2;sf=12;rx_timestamp=2065303355; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:19:42.598119;1054;H=55;T=31;Hs=59.886;sp=2;sf=12;rx_timestamp=2150677293; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:21:10.589860;1058;H=58;T=30;Hs=59.67225;sp=2;sf=12;rx_timestamp=2238473625; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:22:36.135937;1062;H=58;T=30;Hs=59.81475;sp=2;sf=12;rx_timestamp=2324016248; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:24:01.573264;1066;H=60;T=30;Hs=59.70788;sp=2;sf=12;rx_timestamp=2409553881; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:25:27.151132;1070;H=60;T=29;Hs=59.77912;sp=2;sf=12;rx_timestamp=2495128519; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:26:53.142627;1074;H=62;T=29;Hs=59.35162;sp=2;sf=12;rx_timestamp=2580719178; rssi=-116; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:28:21.614483;1077;H=62;T=29;Hs=59.63663;sp=2;sf=7;rx_timestamp=2643217929; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1086;H=66;T=28;Hs=59.4585;sp=2;sf=12;rx_timestamp=2837343111; rssi=-112; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:32:35.173036;1090;H=65;T=28;Hs=59.52975;sp=2;sf=12;rx_timestamp=2922880813; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:34:00.648040;1094;H=70;T=26;Hs=59.38725;sp=2;sf=12;rx_timestamp=3008424489; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1098;H=76;T=25;Hs=59.20912;sp=2;sf=12;rx_timestamp=3093963180; rssi=-112; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:36:51.632583;1102;H=80;T=25;Hs=60.06413;sp=2;sf=12;rx_timestamp=3179501861; rssi=-112; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:38:17.086680;1106;H=80;T=25;Hs=59.81475;sp=2;sf=12;rx_timestamp=3265043547; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:39:45.120320;1110;H=83;T=25;Hs=59.63663;sp=2;sf=12;rx_timestamp=3352677230; rssi=-109; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:41:10.561401;1114;H=83;T=25;Hs=59.56537;sp=2;sf=12;rx_timestamp=3438230934; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 15:42:40.550833;1118;H=95;T=22;Hs=59.28037;sp=2;sf=12;rx_timestamp=3527961625; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
