0000;43;H=72;T=33;Hs=0.0;sp=20;sf=7;rx_timestamp=57446085; rssi=-40; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;47;H=57;T=32;Hs=53.15283;sp=20;sf=7;rx_timestamp=145054471; rssi=-38; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;51;H=55;T=32;Hs=51.87033;sp=20;sf=7;rx_timestamp=230573589; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;55;H=54;T=33;Hs=50.01781;sp=20;sf=7;rx_timestamp=316097626; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-06-28 12:04:13.088178;59;H=54;T=32;Hs=50.19594;sp=20;sf=7;rx_timestamp=401616620; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;63;H=57;T=32;Hs=50.23157;sp=20;sf=7;rx_timestamp=487147594; rssi=-43; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;67;H=56;T=33;Hs=49.02031;sp=20;sf=7;rx_timestamp=572670520; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;71;H=59;T=33;Hs=48.94906;sp=20;sf=7;rx_timestamp=658189440; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;75;H=56;T=34;Hs=49.02031;sp=20;sf=7;rx_timestamp=743707333; rssi=-42; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;79;H=50;T=35;Hs=48.37905;sp=20;sf=7;rx_timestamp=829231201; rssi=-41; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;83;H=54;T=36;Hs=47.23905;sp=20;sf=7;rx_timestamp=914750057; rssi=-41; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
