2024-07-02 10:23:27.699094;260;H=37;T=41;Hs=25.86391;sp=20;sf=12;rx_timestamp=27714146; rssi=-93; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:24:53.130494;264;H=37;T=40;Hs=25.86391;sp=20;sf=12;rx_timestamp=113249853; rssi=-93; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;268;H=40;T=40;Hs=25.61453;sp=20;sf=12;rx_timestamp=198785544; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:27:46.202128;272;H=41;T=41;Hs=25.57891;sp=20;sf=12;rx_timestamp=286414222; rssi=-93; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:30:37.349326;280;H=37;T=40;Hs=25.61453;sp=20;sf=12;rx_timestamp=457483600; rssi=-93; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:32:02.645976;284;H=38;T=41;Hs=25.22266;sp=20;sf=12;rx_timestamp=543060301; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:33:28.685550;288;H=37;T=41;Hs=25.47203;sp=20;sf=12;rx_timestamp=628595002; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:34:53.731095;292;H=38;T=41;Hs=25.36516;sp=20;sf=12;rx_timestamp=714128716; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:36:19.656422;296;H=40;T=39;Hs=25.50766;sp=20;sf=12;rx_timestamp=799668436; rssi=-94; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:37:44.700757;300;H=44;T=37;Hs=25.61453;sp=20;sf=12;rx_timestamp=885202161; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:39:12.632708;304;H=37;T=40;Hs=25.25829;sp=20;sf=12;rx_timestamp=972833886; rssi=-94; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:40:38.180698;308;H=36;T=40;Hs=25.43641;sp=20;sf=12;rx_timestamp=1058369625; rssi=-94; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:42:03.704155;312;H=40;T=39;Hs=25.29391;sp=20;sf=12;rx_timestamp=1143906394; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:43:29.138386;316;H=43;T=39;Hs=24.68828;sp=20;sf=12;rx_timestamp=1229443146; rssi=-94; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:44:54.682258;320;H=37;T=40;Hs=25.11578;sp=20;sf=12;rx_timestamp=1314979909; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:46:20.221426;324;H=39;T=40;Hs=24.90203;sp=20;sf=12;rx_timestamp=1400517681; rssi=-94; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:47:48.148482;328;H=37;T=40;Hs=25.08015;sp=20;sf=12;rx_timestamp=1488146449; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:49:15.719333;332;H=37;T=40;Hs=24.90203;sp=20;sf=12;rx_timestamp=1575816219; rssi=-93; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:50:40.646675;336;H=36;T=40;Hs=24.68828;sp=20;sf=12;rx_timestamp=1661348996; rssi=-95; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:52:06.193086;340;H=40;T=39;Hs=24.86641;sp=20;sf=12;rx_timestamp=1746886791; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:53:34.300418;344;H=38;T=40;Hs=25.61453;sp=20;sf=12;rx_timestamp=1832421576; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;348;H=38;T=41;Hs=25.04453;sp=20;sf=12;rx_timestamp=1917974361; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:56:23.229768;352;H=38;T=41;Hs=24.83078;sp=20;sf=12;rx_timestamp=2003509157; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:57:50.646467;356;H=36;T=40;Hs=25.08015;sp=20;sf=12;rx_timestamp=2091136952; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:59:18.177793;360;H=41;T=37;Hs=25.29391;sp=20;sf=12;rx_timestamp=2178769752; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:00:43.723331;364;H=38;T=37;Hs=25.79266;sp=20;sf=12;rx_timestamp=2264307573; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:02:11.650564;368;H=50;T=34;Hs=25.11578;sp=20;sf=12;rx_timestamp=2351935383; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:03:40.130354;372;H=47;T=34;Hs=24.97328;sp=20;sf=12;rx_timestamp=2437472205; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:05:07.229995;376;H=40;T=38;Hs=25.18703;sp=20;sf=12;rx_timestamp=2527212026; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:08:00.245172;384;H=36;T=40;Hs=25.04453;sp=20;sf=12;rx_timestamp=2700379653; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:09:25.732266;388;H=33;T=40;Hs=24.65266;sp=20;sf=12;rx_timestamp=2785914474; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:10:53.166345;392;H=33;T=42;Hs=24.79516;sp=20;sf=12;rx_timestamp=2873547288; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:12:18.724634;396;H=31;T=43;Hs=24.51015;sp=20;sf=12;rx_timestamp=2959083105; rssi=-94; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;400;H=34;T=42;Hs=24.47453;sp=20;sf=12;rx_timestamp=3046704937; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:15:11.669509;404;H=32;T=42;Hs=24.26078;sp=20;sf=12;rx_timestamp=3132244757; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:16:38.138501;408;H=32;T=42;Hs=24.68828;sp=20;sf=12;rx_timestamp=3217805578; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:18:02.704992;412;H=31;T=43;Hs=24.58141;sp=20;sf=12;rx_timestamp=3303342405; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:19:28.699665;416;H=32;T=42;Hs=24.26078;sp=20;sf=12;rx_timestamp=3388878220; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:20:56.226459;420;H=32;T=43;Hs=24.2964;sp=20;sf=12;rx_timestamp=3476505999; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:22:21.712259;424;H=29;T=43;Hs=24.47453;sp=20;sf=12;rx_timestamp=3562082864; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:23:49.241363;428;H=31;T=44;Hs=24.79516;sp=20;sf=12;rx_timestamp=3649713695; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:25:15.177876;432;H=29;T=44;Hs=24.36765;sp=20;sf=12;rx_timestamp=3735249514; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:26:42.711544;436;H=36;T=44;Hs=24.1539;sp=20;sf=12;rx_timestamp=3822882303; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:28:08.248024;440;H=32;T=44;Hs=24.40328;sp=20;sf=12;rx_timestamp=3908417175; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:29:33.679710;444;H=32;T=43;Hs=24.36765;sp=20;sf=12;rx_timestamp=3993951012; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:30:59.179550;448;H=30;T=43;Hs=24.47453;sp=20;sf=12;rx_timestamp=4079551846; rssi=-94; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:32:24.711230;452;H=36;T=40;Hs=24.08265;sp=20;sf=12;rx_timestamp=4165077696; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 11:33:51.167957;456;H=38;T=36;Hs=24.4389;sp=20;sf=12;rx_timestamp=4250605489; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
