2024-07-02 10:24:10.292848;262;H=37;T=40;Hs=25.86391;sp=2;sf=12;rx_timestamp=71013963; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:25:35.633108;266;H=40;T=40;Hs=25.61453;sp=2;sf=12;rx_timestamp=156549654; rssi=-109; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:27:04.172503;270;H=41;T=41;Hs=25.57891;sp=2;sf=12;rx_timestamp=244181326; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:28:29.701603;274;H=37;T=41;Hs=25.50766;sp=2;sf=12;rx_timestamp=329712025; rssi=-109; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:29:54.632886;278;H=37;T=40;Hs=25.61453;sp=2;sf=12;rx_timestamp=415247718; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:31:20.199203;282;H=38;T=41;Hs=25.22266;sp=2;sf=12;rx_timestamp=500809402; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:32:45.642572;286;H=37;T=41;Hs=25.47203;sp=2;sf=12;rx_timestamp=586357107; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:34:11.188703;290;H=38;T=41;Hs=25.36516;sp=2;sf=12;rx_timestamp=671894800; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:35:37.115431;294;H=40;T=39;Hs=25.50766;sp=2;sf=12;rx_timestamp=757428527; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:37:03.665377;298;H=44;T=37;Hs=25.61453;sp=2;sf=12;rx_timestamp=842970246; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 10:38:30.194055;302;H=37;T=40;Hs=25.25829;sp=2;sf=12;rx_timestamp=930595975; rssi=-109; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
