2024-07-01 12:08:30.756065;94;H=84;T=26;Hs=13.92946;sp=2;sf=12;rx_timestamp=564617494; rssi=-100; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:08:49.718624;95;H=84;T=26;Hs=13.92946;sp=20;sf=7;rx_timestamp=583973199; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:09:13.246223;96;H=84;T=26;Hs=13.92946;sp=20;sf=12;rx_timestamp=607015199; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:09:33.198956;97;H=83;T=26;Hs=13.57321;sp=2;sf=7;rx_timestamp=627268183; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:09:57.208928;98;H=83;T=26;Hs=13.57321;sp=2;sf=12;rx_timestamp=650144538; rssi=-99; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:10:15.733469;99;H=83;T=26;Hs=13.57321;sp=20;sf=7;rx_timestamp=669501237; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:10:38.623715;100;H=83;T=26;Hs=13.57321;sp=20;sf=12;rx_timestamp=692541284; rssi=-85; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;101;H=83;T=26;Hs=13.89384;sp=2;sf=7;rx_timestamp=712809260; rssi=-100; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;102;H=83;T=26;Hs=13.89384;sp=2;sf=12;rx_timestamp=735849262; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:11:41.187146;103;H=83;T=26;Hs=13.89384;sp=20;sf=7;rx_timestamp=755043313; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:12:04.181936;104;H=83;T=26;Hs=13.89384;sp=20;sf=12;rx_timestamp=778134311; rssi=-84; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:12:24.415138;105;H=83;T=26;Hs=13.89384;sp=2;sf=7;rx_timestamp=798389292; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:12:47.661775;106;H=83;T=26;Hs=13.89384;sp=2;sf=12;rx_timestamp=821429284; rssi=-100; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:13:06.711124;107;H=83;T=26;Hs=13.89384;sp=20;sf=7;rx_timestamp=840621333; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:13:29.711453;108;H=83;T=26;Hs=13.89384;sp=20;sf=12;rx_timestamp=863663329; rssi=-85; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:13:50.257148;109;H=83;T=26;Hs=13.82259;sp=2;sf=7;rx_timestamp=883916303; rssi=-101; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:14:12.693555;110;H=83;T=26;Hs=13.82259;sp=2;sf=12;rx_timestamp=906956297; rssi=-101; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:14:32.183715;111;H=83;T=26;Hs=13.82259;sp=20;sf=7;rx_timestamp=926150342; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:14:55.226680;112;H=83;T=26;Hs=13.82259;sp=20;sf=12;rx_timestamp=949190335; rssi=-86; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:15:15.682972;113;H=83;T=26;Hs=13.82259;sp=2;sf=7;rx_timestamp=969445297; rssi=-100; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:15:38.719064;114;H=83;T=26;Hs=13.82259;sp=2;sf=12;rx_timestamp=992485284; rssi=-100; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:15:58.214565;115;H=83;T=26;Hs=13.82259;sp=20;sf=7;rx_timestamp=1011677328; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:16:21.253576;116;H=83;T=26;Hs=13.82259;sp=20;sf=12;rx_timestamp=1034717321; rssi=-88; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:16:41.205789;117;H=82;T=26;Hs=13.18134;sp=2;sf=7;rx_timestamp=1054972281; rssi=-100; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:17:03.749840;118;H=82;T=26;Hs=13.18134;sp=2;sf=12;rx_timestamp=1078012269; rssi=-100; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-01 12:17:23.742073;119;H=82;T=26;Hs=13.18134;sp=20;sf=7;rx_timestamp=1097203322; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
