0000;466;H=39;T=38;Hs=44.7809;sp=2;sf=12;rx_timestamp=46418805; rssi=-108; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:35:56.762586;470;H=39;T=39;Hs=44.60279;sp=2;sf=12;rx_timestamp=132122576; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:37:22.565317;474;H=39;T=40;Hs=44.74528;sp=2;sf=12;rx_timestamp=217654591; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:38:47.707160;478;H=36;T=40;Hs=44.60279;sp=2;sf=12;rx_timestamp=303185597; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:40:12.711933;482;H=36;T=39;Hs=44.4959;sp=2;sf=12;rx_timestamp=388550876; rssi=-109; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:41:39.049786;486;H=36;T=39;Hs=44.38903;sp=2;sf=12;rx_timestamp=474243521; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:43:04.582499;490;H=37;T=40;Hs=44.60279;sp=2;sf=12;rx_timestamp=559772497; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:44:30.126151;494;H=37;T=41;Hs=44.46028;sp=2;sf=12;rx_timestamp=645302481; rssi=-109; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:45:55.253161;498;H=37;T=39;Hs=44.17528;sp=2;sf=12;rx_timestamp=730835455; rssi=-108; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:47:20.580683;502;H=38;T=41;Hs=43.96152;sp=2;sf=12;rx_timestamp=816363383; rssi=-108; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:48:46.548622;506;H=37;T=40;Hs=44.0684;sp=2;sf=12;rx_timestamp=901734608; rssi=-108; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 12:50:11.577495;510;H=39;T=38;Hs=44.4959;sp=2;sf=12;rx_timestamp=987262502; rssi=-106; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
