2024-07-05 16:04:37.578478;1179;H=93;T=20;Hs=59.24475;sp=20;sf=7;rx_timestamp=10628078; rssi=-45; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:06:03.058621;1183;H=93;T=20;Hs=58.95975;sp=20;sf=7;rx_timestamp=96173312; rssi=-45; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:07:28.601017;1187;H=93;T=20;Hs=59.24475;sp=20;sf=7;rx_timestamp=181709451; rssi=-44; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1191;H=93;T=20;Hs=58.88849;sp=20;sf=7;rx_timestamp=269344526; rssi=-44; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:10:21.107805;1195;H=93;T=20;Hs=59.7435;sp=20;sf=7;rx_timestamp=354918556; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1199;H=93;T=20;Hs=59.56537;sp=20;sf=7;rx_timestamp=440461612; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:13:12.102172;1203;H=93;T=20;Hs=59.63663;sp=20;sf=7;rx_timestamp=526014609; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:14:38.042893;1207;H=93;T=20;Hs=59.63663;sp=20;sf=7;rx_timestamp=611554608; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:16:03.604878;1211;H=93;T=20;Hs=59.4585;sp=20;sf=7;rx_timestamp=697091551; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;1215;H=93;T=20;Hs=59.42287;sp=20;sf=7;rx_timestamp=782637554; rssi=-54; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:18:55.068398;1219;H=93;T=20;Hs=59.4585;sp=20;sf=7;rx_timestamp=868172493; rssi=-53; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:20:20.234092;1223;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=953717459; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:21:47.544598;1227;H=93;T=20;Hs=59.35162;sp=20;sf=7;rx_timestamp=1041348416; rssi=-50; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:23:13.583307;1231;H=93;T=20;Hs=59.7435;sp=20;sf=7;rx_timestamp=1126881334; rssi=-53; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:24:41.111565;1235;H=93;T=20;Hs=59.316;sp=20;sf=7;rx_timestamp=1214516236; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:26:06.054169;1239;H=93;T=20;Hs=59.42287;sp=20;sf=7;rx_timestamp=1300061241; rssi=-52; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:27:34.090765;1243;H=93;T=20;Hs=59.42287;sp=20;sf=7;rx_timestamp=1387691164; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:29:00.079172;1247;H=93;T=20;Hs=59.49412;sp=20;sf=7;rx_timestamp=1473283100; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 16:30:27.207090;1251;H=93;T=20;Hs=59.28037;sp=20;sf=7;rx_timestamp=1560930032; rssi=-51; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
