2024-07-04 11:43:24.125386;490;H=95;T=27;Hs=82.65052;sp=2;sf=12;rx_timestamp=25797332; rssi=-108; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:46:15.135056;498;H=95;T=27;Hs=82.11614;sp=2;sf=12;rx_timestamp=196856775; rssi=-109; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:47:40.619724;502;H=95;T=27;Hs=82.00927;sp=2;sf=12;rx_timestamp=282385885; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:49:06.155224;506;H=95;T=27;Hs=82.00927;sp=2;sf=12;rx_timestamp=367916944; rssi=-109; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:50:31.103344;510;H=95;T=28;Hs=81.97364;sp=2;sf=12;rx_timestamp=453461971; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:51:57.128004;514;H=95;T=28;Hs=81.61738;sp=2;sf=12;rx_timestamp=538990970; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:53:22.798346;518;H=95;T=28;Hs=81.47489;sp=2;sf=12;rx_timestamp=624561941; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:54:48.138038;522;H=95;T=28;Hs=81.43927;sp=2;sf=12;rx_timestamp=710095905; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:56:13.783191;526;H=95;T=29;Hs=81.22551;sp=2;sf=12;rx_timestamp=795623869; rssi=-109; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:57:39.589831;530;H=95;T=29;Hs=80.72676;sp=2;sf=12;rx_timestamp=881149801; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 11:59:05.133759;534;H=95;T=29;Hs=80.69114;sp=2;sf=12;rx_timestamp=966681718; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:00:30.262636;538;H=95;T=29;Hs=80.58425;sp=2;sf=12;rx_timestamp=1052208628; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:01:55.587024;542;H=95;T=29;Hs=80.33488;sp=2;sf=12;rx_timestamp=1137744536; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:03:21.616012;546;H=95;T=29;Hs=80.22799;sp=2;sf=12;rx_timestamp=1223275430; rssi=-110; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:04:46.779079;550;H=95;T=29;Hs=80.33488;sp=2;sf=12;rx_timestamp=1308805307; rssi=-109; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:06:14.080563;554;H=95;T=30;Hs=79.72925;sp=2;sf=12;rx_timestamp=1396434191; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:07:40.261554;558;H=95;T=29;Hs=79.76488;sp=2;sf=12;rx_timestamp=1481971052; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:09:05.605214;562;H=95;T=29;Hs=79.658;sp=2;sf=12;rx_timestamp=1567356196; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:10:34.609962;566;H=95;T=30;Hs=79.69362;sp=2;sf=12;rx_timestamp=1655153782; rssi=-109; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:11:59.155910;570;H=95;T=30;Hs=79.37299;sp=2;sf=12;rx_timestamp=1740693639; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:13:24.604071;574;H=95;T=29;Hs=79.19487;sp=2;sf=12;rx_timestamp=1826254491; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:14:49.805844;578;H=95;T=29;Hs=78.87424;sp=2;sf=12;rx_timestamp=1911793346; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:16:15.090561;582;H=95;T=30;Hs=79.15924;sp=2;sf=12;rx_timestamp=1997331197; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:17:45.125437;586;H=95;T=30;Hs=78.55362;sp=2;sf=12;rx_timestamp=2087058052; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:19:10.654704;590;H=95;T=30;Hs=78.73174;sp=2;sf=12;rx_timestamp=2172595889; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:20:36.093240;594;H=95;T=30;Hs=78.41112;sp=2;sf=12;rx_timestamp=2258130736; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:22:02.125744;598;H=95;T=30;Hs=78.66049;sp=2;sf=12;rx_timestamp=2343666581; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:23:27.663575;602;H=95;T=29;Hs=78.19736;sp=2;sf=12;rx_timestamp=2429205411; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:24:52.642113;606;H=95;T=30;Hs=78.44674;sp=2;sf=12;rx_timestamp=2514786264; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:26:18.678439;610;H=95;T=30;Hs=77.98361;sp=2;sf=12;rx_timestamp=2600323098; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:27:43.624960;614;H=95;T=31;Hs=77.94799;sp=2;sf=12;rx_timestamp=2685862941; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:29:09.232157;618;H=95;T=30;Hs=78.05486;sp=2;sf=12;rx_timestamp=2771397787; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:30:34.594173;622;H=95;T=29;Hs=78.16175;sp=2;sf=12;rx_timestamp=2856934623; rssi=-110; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:32:00.138088;626;H=95;T=29;Hs=77.52048;sp=2;sf=12;rx_timestamp=2942472465; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:33:25.679394;630;H=95;T=29;Hs=77.80549;sp=2;sf=12;rx_timestamp=3028009302; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:34:51.307061;634;H=95;T=30;Hs=77.59174;sp=2;sf=12;rx_timestamp=3113558145; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:36:21.152256;638;H=95;T=30;Hs=77.37798;sp=2;sf=12;rx_timestamp=3203285999; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:37:46.696201;642;H=95;T=30;Hs=77.37798;sp=2;sf=12;rx_timestamp=3288823854; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
