2024-07-04 12:19:52.592192;592;H=95;T=30;Hs=78.73174;sp=20;sf=12;rx_timestamp=2214831852; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:21:18.250502;596;H=95;T=30;Hs=78.41112;sp=20;sf=12;rx_timestamp=2300364708; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:22:43.657181;600;H=95;T=30;Hs=78.66049;sp=20;sf=12;rx_timestamp=2385904541; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:24:09.627569;604;H=95;T=29;Hs=78.19736;sp=20;sf=12;rx_timestamp=2471443381; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:25:34.679303;608;H=95;T=30;Hs=78.44674;sp=20;sf=12;rx_timestamp=2557024227; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:27:00.128591;612;H=95;T=30;Hs=77.98361;sp=20;sf=12;rx_timestamp=2642561065; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:28:26.162083;616;H=95;T=31;Hs=77.94799;sp=20;sf=12;rx_timestamp=2728098909; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:29:51.602434;620;H=95;T=30;Hs=78.05486;sp=20;sf=12;rx_timestamp=2813635755; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:31:17.131408;624;H=95;T=29;Hs=78.16175;sp=20;sf=12;rx_timestamp=2899170591; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:32:42.674623;628;H=95;T=29;Hs=77.52048;sp=20;sf=12;rx_timestamp=2984708430; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:34:08.609495;632;H=95;T=29;Hs=77.80549;sp=20;sf=12;rx_timestamp=3070245266; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:35:33.666378;636;H=95;T=30;Hs=77.59174;sp=20;sf=12;rx_timestamp=3155796120; rssi=-95; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:37:03.284351;640;H=95;T=30;Hs=77.37798;sp=20;sf=12;rx_timestamp=3245521971; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:38:29.140448;644;H=95;T=30;Hs=77.37798;sp=20;sf=12;rx_timestamp=3331061816; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;648;H=86;T=29;Hs=76.98611;sp=20;sf=12;rx_timestamp=3416611670; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:41:20.124879;652;H=81;T=30;Hs=76.62985;sp=20;sf=12;rx_timestamp=3502149511; rssi=-97; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:42:45.659684;656;H=80;T=30;Hs=76.38048;sp=20;sf=12;rx_timestamp=3587686371; rssi=-97; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:44:12.359900;660;H=79;T=30;Hs=76.5586;sp=20;sf=12;rx_timestamp=3673222186; rssi=-97; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;664;H=76;T=31;Hs=76.23798;sp=20;sf=12;rx_timestamp=3758761070; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:47:02.691847;668;H=80;T=31;Hs=75.77485;sp=20;sf=12;rx_timestamp=3844296934; rssi=-99; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:48:28.109361;672;H=69;T=31;Hs=76.38048;sp=20;sf=12;rx_timestamp=3929833773; rssi=-99; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:49:53.150170;676;H=76;T=31;Hs=76.09548;sp=20;sf=12;rx_timestamp=4015370622; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:51:20.184071;680;H=73;T=30;Hs=76.13111;sp=20;sf=12;rx_timestamp=4100907478; rssi=-97; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:52:44.627315;684;H=70;T=30;Hs=75.95297;sp=20;sf=12;rx_timestamp=4186443321; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 12:54:10.159752;688;H=67;T=30;Hs=75.73923;sp=20;sf=12;rx_timestamp=4271982160; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
