32;H=95;T=26;Hs=0.0;sp=20;sf=12;send_time=1724684087;rx_timestamp=68556010; rssi=-75; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
36;H=95;T=26;Hs=1.211258;sp=20;sf=12;send_time=1724684208;rx_timestamp=190282850; rssi=-91; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
40;H=95;T=26;Hs=0.0;sp=20;sf=12;send_time=1724684330;rx_timestamp=311675612; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
44;H=95;T=27;Hs=9.084435;sp=20;sf=12;send_time=1724684452;rx_timestamp=433404502; rssi=-101; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
48;H=95;T=27;Hs=9.654434;sp=20;sf=12;send_time=1724684573;rx_timestamp=555045656; rssi=-101; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
52;H=95;T=27;Hs=9.725685;sp=20;sf=12;send_time=1724684695;rx_timestamp=676610660; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
56;H=95;T=26;Hs=9.013184;sp=20;sf=12;send_time=1724684816;rx_timestamp=798172760; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
60;H=95;T=26;Hs=9.725685;sp=20;sf=12;send_time=1724684938;rx_timestamp=919733635; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
64;H=95;T=26;Hs=9.654434;sp=20;sf=12;send_time=1724685059;rx_timestamp=1041298948; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
68;H=95;T=25;Hs=9.654434;sp=20;sf=12;send_time=1724685181;rx_timestamp=1162860763; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
72;H=95;T=26;Hs=9.903809;sp=20;sf=12;send_time=1724685303;rx_timestamp=1284423002; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
76;H=95;T=26;Hs=9.761307;sp=20;sf=12;send_time=1724685425;rx_timestamp=1406332889; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
80;H=95;T=26;Hs=10.75882;sp=20;sf=12;send_time=1724685546;rx_timestamp=1527892826; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
84;H=95;T=26;Hs=9.796936;sp=20;sf=12;send_time=1724685668;rx_timestamp=1649458050; rssi=-100; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
88;H=95;T=26;Hs=9.868187;sp=20;sf=12;send_time=1724685789;rx_timestamp=1771022926; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
92;H=95;T=25;Hs=10.40257;sp=20;sf=12;send_time=1724685911;rx_timestamp=1892583123; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
96;H=95;T=25;Hs=10.01069;sp=20;sf=12;send_time=1724686032;rx_timestamp=2014150185; rssi=-98; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
100;H=95;T=25;Hs=10.18881;sp=20;sf=12;send_time=1724686154;rx_timestamp=2135711514; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
104;H=95;T=25;Hs=9.761307;sp=20;sf=12;send_time=1724686275;rx_timestamp=2257280343; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
108;H=95;T=25;Hs=1.852509;sp=20;sf=12;send_time=1724686397;rx_timestamp=2378850875; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
112;H=95;T=25;Hs=10.43819;sp=20;sf=12;send_time=1724686519;rx_timestamp=2500415290; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
116;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724686640;rx_timestamp=2621821598; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
120;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724686762;rx_timestamp=2743384937; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
124;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724686883;rx_timestamp=2865027680; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
128;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724687005;rx_timestamp=2986593992; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
132;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724687127;rx_timestamp=3108155791; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
136;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724687248;rx_timestamp=3229728034; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
140;H=95;T=25;Hs=0.0;sp=20;sf=12;send_time=1724687370;rx_timestamp=3351300721; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
144;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724687491;rx_timestamp=3472866327; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
148;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724687613;rx_timestamp=3594432725; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
152;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724687734;rx_timestamp=3715993236; rssi=-102; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
156;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724687856;rx_timestamp=3837576742; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
160;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724687977;rx_timestamp=3959137404; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
164;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688101;rx_timestamp=4082794328; rssi=-104; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
168;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688225;rx_timestamp=4206467823; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
172;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688346;rx_timestamp=33070565; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
176;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688468;rx_timestamp=154635524; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
180;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688590;rx_timestamp=276204621; rssi=-103; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
184;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688711;rx_timestamp=397765538; rssi=-103; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
188;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688833;rx_timestamp=519338866; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
192;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724688958;rx_timestamp=645093514; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
196;H=95;T=24;Hs=0.0;sp=20;sf=12;send_time=1724689080;rx_timestamp=766659589; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
