137;H=95;T=25;Hs=0.0;sp=2;sf=7;send_time=1724687279;rx_timestamp=3258525116; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
141;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687401;rx_timestamp=3380099515; rssi=-120; snr=-7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
145;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687522;rx_timestamp=3501666158; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
149;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687644;rx_timestamp=3623230687; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
153;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687766;rx_timestamp=3744792213; rssi=-119; snr=-6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
157;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724687887;rx_timestamp=3866374817; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
161;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688011;rx_timestamp=3990028692; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
165;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688134;rx_timestamp=4113704062; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
169;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688256;rx_timestamp=4235273233; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
173;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688378;rx_timestamp=61870489; rssi=-116; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
177;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688499;rx_timestamp=183437917; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
181;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688621;rx_timestamp=305002499; rssi=-118; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
185;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688742;rx_timestamp=426567527; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
189;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688868;rx_timestamp=552324518; rssi=-117; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
193;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724688990;rx_timestamp=673893643; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
197;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689111;rx_timestamp=795461900; rssi=-115; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
201;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689233;rx_timestamp=917103836; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
205;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689354;rx_timestamp=1038699913; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
209;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689476;rx_timestamp=1160267631; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
213;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689598;rx_timestamp=1281831542; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
217;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689719;rx_timestamp=1403403475; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
221;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689841;rx_timestamp=1524964574; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
225;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724689962;rx_timestamp=1646534490; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
229;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724690084;rx_timestamp=1768098700; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
233;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724690207;rx_timestamp=1891767675; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
237;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724690331;rx_timestamp=2015438873; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
241;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724690453;rx_timestamp=2137005581; rssi=-117; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
245;H=95;T=24;Hs=0.0;sp=2;sf=7;send_time=1724690574;rx_timestamp=2258574440; rssi=-115; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
249;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724690696;rx_timestamp=2380138595; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
253;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724690817;rx_timestamp=2501709464; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
257;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724690939;rx_timestamp=2623274654; rssi=-117; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
261;H=95;T=23;Hs=0.0;sp=2;sf=7;send_time=1724691065;rx_timestamp=2749030678; rssi=-115; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
