2024-07-03 11:24:11.144226;270;H=47;T=35;Hs=48.62844;sp=2;sf=12;rx_timestamp=501313215; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:24:30.144620;271;H=47;T=35;Hs=48.62844;sp=20;sf=7;rx_timestamp=520508253; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:24:53.585660;272;H=47;T=35;Hs=48.62844;sp=20;sf=12;rx_timestamp=543549234; rssi=-95; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:25:14.149470;273;H=51;T=33;Hs=48.62844;sp=2;sf=7;rx_timestamp=563807186; rssi=-111; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:25:37.079235;274;H=51;T=33;Hs=48.62844;sp=2;sf=12;rx_timestamp=586848159; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:25:55.583962;275;H=51;T=33;Hs=48.62844;sp=20;sf=7;rx_timestamp=606043204; rssi=-97; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:26:18.626252;276;H=51;T=33;Hs=48.62844;sp=20;sf=12;rx_timestamp=629086180; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:26:39.583167;277;H=54;T=32;Hs=48.41468;sp=2;sf=7;rx_timestamp=649344133; rssi=-110; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:27:02.630272;278;H=54;T=32;Hs=48.41468;sp=2;sf=12;rx_timestamp=672385102; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:27:21.137590;279;H=54;T=32;Hs=48.41468;sp=20;sf=7;rx_timestamp=691580143; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:27:44.662030;280;H=54;T=32;Hs=48.41468;sp=20;sf=12;rx_timestamp=714623119; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:28:06.610946;281;H=50;T=34;Hs=48.80655;sp=2;sf=7;rx_timestamp=736973065; rssi=-111; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:28:29.673389;282;H=50;T=34;Hs=48.80655;sp=2;sf=12;rx_timestamp=760018041; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:28:49.150173;283;H=50;T=34;Hs=48.80655;sp=20;sf=7;rx_timestamp=779211076; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:29:32.157615;285;H=49;T=34;Hs=48.55718;sp=2;sf=7;rx_timestamp=822512992; rssi=-111; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:29:56.105099;286;H=49;T=34;Hs=48.55718;sp=2;sf=12;rx_timestamp=845566965; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:30:15.107245;287;H=49;T=34;Hs=48.55718;sp=20;sf=7;rx_timestamp=864764001; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:30:38.154178;288;H=49;T=34;Hs=48.55718;sp=20;sf=12;rx_timestamp=887804969; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:31:00.595508;289;H=46;T=36;Hs=48.66405;sp=2;sf=7;rx_timestamp=910155918; rssi=-111; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:31:23.635438;290;H=46;T=36;Hs=48.66405;sp=2;sf=12;rx_timestamp=933198889; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:31:43.367248;291;H=46;T=36;Hs=48.66405;sp=20;sf=7;rx_timestamp=952391923; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:32:05.078316;292;H=46;T=36;Hs=48.66405;sp=20;sf=12;rx_timestamp=975434896; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:32:26.194808;293;H=45;T=36;Hs=48.37905;sp=2;sf=7;rx_timestamp=995693833; rssi=-111; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:32:49.074638;294;H=45;T=36;Hs=48.37905;sp=2;sf=12;rx_timestamp=1018736797; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:33:07.599878;295;H=45;T=36;Hs=48.37905;sp=20;sf=7;rx_timestamp=1037929834; rssi=-98; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:33:53.665067;297;H=42;T=37;Hs=48.34342;sp=2;sf=7;rx_timestamp=1083323754; rssi=-111; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:34:16.607624;298;H=42;T=37;Hs=48.34342;sp=2;sf=12;rx_timestamp=1106366708; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:34:35.607806;299;H=42;T=37;Hs=48.34342;sp=20;sf=7;rx_timestamp=1125561745; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:34:58.649222;300;H=42;T=37;Hs=48.34342;sp=20;sf=12;rx_timestamp=1148602704; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:35:19.108520;301;H=42;T=37;Hs=48.0228;sp=2;sf=7;rx_timestamp=1168861608; rssi=-112; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:35:42.085514;302;H=42;T=37;Hs=48.0228;sp=2;sf=12;rx_timestamp=1191738938; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:36:01.135794;303;H=42;T=37;Hs=48.0228;sp=20;sf=7;rx_timestamp=1211095606; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:36:44.331097;305;H=45;T=38;Hs=47.84467;sp=2;sf=7;rx_timestamp=1254395573; rssi=-111; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:37:07.082158;306;H=45;T=38;Hs=47.84467;sp=2;sf=12;rx_timestamp=1277438520; rssi=-111; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:37:26.606424;307;H=45;T=38;Hs=47.84467;sp=20;sf=7;rx_timestamp=1296633570; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:37:50.129285;308;H=45;T=38;Hs=47.84467;sp=20;sf=12;rx_timestamp=1319674519; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:38:52.119474;311;H=43;T=37;Hs=47.91593;sp=20;sf=7;rx_timestamp=1382170451; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:39:15.654525;312;H=43;T=37;Hs=47.91593;sp=20;sf=12;rx_timestamp=1405213414; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:39:35.612843;313;H=40;T=38;Hs=47.77342;sp=2;sf=7;rx_timestamp=1425470358; rssi=-113; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:39:58.654344;314;H=40;T=38;Hs=47.77342;sp=2;sf=12;rx_timestamp=1448511326; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:40:18.147240;315;H=40;T=38;Hs=47.77342;sp=20;sf=7;rx_timestamp=1467706353; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:40:41.101855;316;H=40;T=38;Hs=47.77342;sp=20;sf=12;rx_timestamp=1490749313; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:41:01.144284;317;H=44;T=36;Hs=47.63093;sp=2;sf=7;rx_timestamp=1511004269; rssi=-110; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:41:23.593317;318;H=44;T=36;Hs=47.63093;sp=2;sf=12;rx_timestamp=1534049222; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:41:43.587103;319;H=44;T=36;Hs=47.63093;sp=20;sf=7;rx_timestamp=1553244265; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:42:06.630624;320;H=44;T=36;Hs=47.63093;sp=20;sf=12;rx_timestamp=1576287221; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:42:26.101296;321;H=48;T=34;Hs=47.84467;sp=2;sf=7;rx_timestamp=1596544163; rssi=-110; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:42:49.631600;322;H=48;T=34;Hs=47.84467;sp=2;sf=12;rx_timestamp=1619585132; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:43:09.244308;323;H=48;T=34;Hs=47.84467;sp=20;sf=7;rx_timestamp=1638780159; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:43:32.174094;324;H=48;T=34;Hs=47.84467;sp=20;sf=12;rx_timestamp=1661823122; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:43:52.135053;325;H=43;T=36;Hs=47.63093;sp=2;sf=7;rx_timestamp=1682080071; rssi=-110; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 11:44:15.670075;326;H=43;T=36;Hs=47.63093;sp=2;sf=12;rx_timestamp=1705125023; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
