2024-07-04 14:25:18.890864;943;H=72;T=27;Hs=70.68044;sp=20;sf=7;rx_timestamp=45244340; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:26:44.459739;947;H=73;T=27;Hs=70.64482;sp=20;sf=7;rx_timestamp=130803521; rssi=-88; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;951;H=73;T=27;Hs=70.57356;sp=20;sf=7;rx_timestamp=216334600; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;955;H=74;T=27;Hs=70.28857;sp=20;sf=7;rx_timestamp=301868626; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;959;H=72;T=27;Hs=70.28857;sp=20;sf=7;rx_timestamp=387453613; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:32:26.463234;963;H=72;T=27;Hs=70.25294;sp=20;sf=7;rx_timestamp=472987572; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:33:51.474869;967;H=71;T=27;Hs=70.11044;sp=20;sf=7;rx_timestamp=558520492; rssi=-86; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;971;H=70;T=27;Hs=70.43106;sp=20;sf=7;rx_timestamp=644052398; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:36:42.937525;975;H=73;T=27;Hs=70.07482;sp=20;sf=7;rx_timestamp=729583297; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;979;H=73;T=27;Hs=70.14606;sp=20;sf=7;rx_timestamp=815120169; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:39:33.906655;983;H=72;T=27;Hs=70.25294;sp=20;sf=7;rx_timestamp=900649021; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
