2024-07-03 09:50:51.686841;20;H=62;T=32;Hs=63.8404;sp=20;sf=12;rx_timestamp=75555818; rssi=-80; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:52:17.692055;24;H=60;T=31;Hs=63.23477;sp=20;sf=12;rx_timestamp=161237696; rssi=-99; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;28;H=63;T=31;Hs=62.37977;sp=20;sf=12;rx_timestamp=246760813; rssi=-110; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:55:09.355881;32;H=63;T=31;Hs=62.09476;sp=20;sf=12;rx_timestamp=332283882; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:56:33.734284;36;H=61;T=31;Hs=61.38226;sp=20;sf=12;rx_timestamp=417801901; rssi=-98; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:57:59.709377;40;H=61;T=32;Hs=60.741;sp=20;sf=12;rx_timestamp=503162142; rssi=-98; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:59:25.182728;44;H=52;T=35;Hs=60.09975;sp=20;sf=12;rx_timestamp=588847794; rssi=-97; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:00:52.690685;48;H=49;T=37;Hs=59.81475;sp=20;sf=12;rx_timestamp=676455707; rssi=-103; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:02:18.252761;52;H=50;T=35;Hs=59.316;sp=20;sf=12;rx_timestamp=761814872; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;56;H=49;T=35;Hs=59.24475;sp=20;sf=12;rx_timestamp=847841472; rssi=-99; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:05:09.818604;60;H=58;T=31;Hs=58.81725;sp=20;sf=12;rx_timestamp=933361349; rssi=-98; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
