2024-07-03 09:50:09.676118;18;H=62;T=32;Hs=63.8404;sp=2;sf=12;rx_timestamp=33327609; rssi=-97; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:51:35.178483;22;H=60;T=31;Hs=63.23477;sp=2;sf=12;rx_timestamp=118844932; rssi=-103; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:55:51.239640;34;H=61;T=31;Hs=61.38226;sp=2;sf=12;rx_timestamp=375410210; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:57:16.669039;38;H=61;T=32;Hs=60.741;sp=2;sf=12;rx_timestamp=460932126; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 09:58:42.185378;42;H=52;T=35;Hs=60.09975;sp=2;sf=12;rx_timestamp=546454151; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:00:10.198716;46;H=49;T=37;Hs=59.81475;sp=2;sf=12;rx_timestamp=634064073; rssi=-111; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:01:35.726216;50;H=50;T=35;Hs=59.316;sp=2;sf=12;rx_timestamp=719582884; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:03:01.684167;54;H=49;T=35;Hs=59.24475;sp=2;sf=12;rx_timestamp=805449862; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:04:27.256598;58;H=58;T=31;Hs=58.81725;sp=2;sf=12;rx_timestamp=890967737; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:05:52.726949;62;H=61;T=31;Hs=58.46099;sp=2;sf=12;rx_timestamp=976489592; rssi=-111; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-03 10:07:18.252684;66;H=65;T=30;Hs=58.10474;sp=2;sf=12;rx_timestamp=1062013452; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
