2024-07-03 09:50:09.676118;18;H=62;T=32;Hs=63.8404;sp=2;sf=12;rx_timestamp=33327609; rssi=-97; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:50:29.207143;19;H=62;T=32;Hs=63.8404;sp=20;sf=7;rx_timestamp=52680380; rssi=-71; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:50:51.686841;20;H=62;T=32;Hs=63.8404;sp=20;sf=12;rx_timestamp=75555818; rssi=-80; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:51:12.268744;21;H=60;T=31;Hs=63.23477;sp=2;sf=7;rx_timestamp=95971516; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:51:35.178483;22;H=60;T=31;Hs=63.23477;sp=2;sf=12;rx_timestamp=118844932; rssi=-103; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:51:55.271952;23;H=60;T=31;Hs=63.23477;sp=20;sf=7;rx_timestamp=138199668; rssi=-100; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:52:17.692055;24;H=60;T=31;Hs=63.23477;sp=20;sf=12;rx_timestamp=161237696; rssi=-99; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:52:37.726858;25;H=63;T=31;Hs=62.37977;sp=2;sf=7;rx_timestamp=181489701; rssi=-112; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:54:45.674773;31;H=63;T=31;Hs=62.09476;sp=20;sf=7;rx_timestamp=309244878; rssi=-103; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:55:09.355881;32;H=63;T=31;Hs=62.09476;sp=20;sf=12;rx_timestamp=332283882; rssi=-96; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:55:28.678115;33;H=61;T=31;Hs=61.38226;sp=2;sf=7;rx_timestamp=352536861; rssi=-116; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:55:51.239640;34;H=61;T=31;Hs=61.38226;sp=2;sf=12;rx_timestamp=375410210; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:56:10.694842;35;H=61;T=31;Hs=61.38226;sp=20;sf=7;rx_timestamp=394764899; rssi=-97; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:56:33.734284;36;H=61;T=31;Hs=61.38226;sp=20;sf=12;rx_timestamp=417801901; rssi=-98; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:56:54.186014;37;H=61;T=32;Hs=60.741;sp=2;sf=7;rx_timestamp=438048802; rssi=-112; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:57:16.669039;38;H=61;T=32;Hs=60.741;sp=2;sf=12;rx_timestamp=460932126; rssi=-110; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
2024-07-03 09:57:36.214885;39;H=61;T=32;Hs=60.741;sp=20;sf=7;rx_timestamp=480281830; rssi=-95; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=10;dist=10;obst=0
