0000;288;H=38;T=40;Hs=61.27538;sp=20;sf=12;rx_timestamp=539289944; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;289;H=38;T=40;Hs=61.27538;sp=2;sf=7;rx_timestamp=559549871; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:46:39.288513;290;H=38;T=40;Hs=61.27538;sp=2;sf=12;rx_timestamp=582590816; rssi=-116; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:46:58.384639;291;H=38;T=40;Hs=61.27538;sp=20;sf=7;rx_timestamp=601785829; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:47:21.080331;292;H=38;T=40;Hs=61.27538;sp=20;sf=12;rx_timestamp=624828772; rssi=-100; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;293;H=48;T=35;Hs=61.20413;sp=2;sf=7;rx_timestamp=647179698; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:48:06.436306;294;H=48;T=35;Hs=61.20413;sp=2;sf=12;rx_timestamp=670222635; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:48:25.916371;295;H=48;T=35;Hs=61.20413;sp=20;sf=7;rx_timestamp=689415656; rssi=-100; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:48:48.365284;296;H=48;T=35;Hs=61.20413;sp=20;sf=12;rx_timestamp=712458594; rssi=-101; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:49:08.918269;297;H=45;T=35;Hs=61.16851;sp=2;sf=7;rx_timestamp=732716522; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:49:33.821000;298;H=45;T=35;Hs=61.16851;sp=2;sf=12;rx_timestamp=755758470; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:49:51.351010;299;H=45;T=35;Hs=61.16851;sp=20;sf=7;rx_timestamp=774951485; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:50:14.394545;300;H=45;T=35;Hs=61.16851;sp=20;sf=12;rx_timestamp=797994432; rssi=-101; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:50:34.855564;301;H=50;T=34;Hs=60.84788;sp=2;sf=7;rx_timestamp=818253374; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:50:57.896874;302;H=50;T=34;Hs=60.84788;sp=2;sf=12;rx_timestamp=841294310; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:51:16.894318;303;H=50;T=34;Hs=60.84788;sp=20;sf=7;rx_timestamp=860491315; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:51:39.836219;304;H=50;T=34;Hs=60.84788;sp=20;sf=12;rx_timestamp=883532265; rssi=-100; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:52:00.392806;305;H=55;T=34;Hs=61.16851;sp=2;sf=7;rx_timestamp=903788188; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:52:22.833556;306;H=55;T=34;Hs=61.16851;sp=2;sf=12;rx_timestamp=926831137; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:52:41.863764;307;H=55;T=34;Hs=61.16851;sp=20;sf=7;rx_timestamp=946057152; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:53:05.407629;308;H=55;T=34;Hs=61.16851;sp=20;sf=12;rx_timestamp=969102106; rssi=-101; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:53:25.360841;309;H=58;T=33;Hs=61.20413;sp=2;sf=7;rx_timestamp=989358032; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:53:48.411987;310;H=58;T=33;Hs=61.20413;sp=2;sf=12;rx_timestamp=1012399977; rssi=-115; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:54:07.401993;311;H=58;T=33;Hs=61.20413;sp=20;sf=7;rx_timestamp=1031595000; rssi=-101; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:54:30.842671;312;H=58;T=33;Hs=61.20413;sp=20;sf=12;rx_timestamp=1054635946; rssi=-100; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:54:51.398417;313;H=56;T=33;Hs=60.95476;sp=2;sf=7;rx_timestamp=1074893880; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:55:14.344364;314;H=56;T=33;Hs=60.95476;sp=2;sf=12;rx_timestamp=1097935830; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:55:33.339110;315;H=56;T=33;Hs=60.95476;sp=20;sf=7;rx_timestamp=1117130844; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;316;H=56;T=33;Hs=60.95476;sp=20;sf=12;rx_timestamp=1140171794; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:56:16.435924;317;H=52;T=35;Hs=60.95476;sp=2;sf=7;rx_timestamp=1160429727; rssi=-116; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:56:39.377666;318;H=52;T=35;Hs=60.95476;sp=2;sf=12;rx_timestamp=1183470671; rssi=-115; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:56:58.875789;319;H=52;T=35;Hs=60.95476;sp=20;sf=7;rx_timestamp=1202663700; rssi=-100; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:57:22.425467;320;H=52;T=35;Hs=60.95476;sp=20;sf=12;rx_timestamp=1225708632; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 10:57:41.880125;321;H=45;T=37;Hs=61.06164;sp=2;sf=7;rx_timestamp=1245964576; rssi=-117; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
