2024-07-05 11:13:47.886166;366;H=38;T=41;Hs=60.5985;sp=2;sf=12;rx_timestamp=2211868325; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:15:13.386534;370;H=41;T=41;Hs=60.91913;sp=2;sf=12;rx_timestamp=2297566858; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:16:39.424870;374;H=41;T=41;Hs=60.84788;sp=2;sf=12;rx_timestamp=2383101728; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:18:04.865106;378;H=39;T=40;Hs=60.95476;sp=2;sf=12;rx_timestamp=2468638593; rssi=-115; snr=-3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;382;H=44;T=39;Hs=60.70538;sp=2;sf=12;rx_timestamp=2554173464; rssi=-115; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:20:55.932084;386;H=44;T=38;Hs=60.70538;sp=2;sf=12;rx_timestamp=2639708338; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:22:21.411955;390;H=45;T=37;Hs=60.91913;sp=2;sf=12;rx_timestamp=2725285212; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:23:46.887213;394;H=47;T=36;Hs=60.5985;sp=2;sf=12;rx_timestamp=2810656412; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:25:14.414000;398;H=48;T=34;Hs=60.8835;sp=2;sf=12;rx_timestamp=2898285294; rssi=-114; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:26:39.913336;402;H=45;T=34;Hs=60.91913;sp=2;sf=12;rx_timestamp=2983984842; rssi=-113; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 11:28:05.953447;406;H=51;T=34;Hs=60.63413;sp=2;sf=12;rx_timestamp=3069521735; rssi=-114; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
