0000;717;H=62;T=31;Hs=74.88422;sp=2;sf=7;rx_timestamp=11362381; rssi=-114; snr=-8.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:37:29.064107;809;H=74;T=27;Hs=72.35483;sp=2;sf=7;rx_timestamp=1987228365; rssi=-113; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:38:54.633219;813;H=77;T=27;Hs=72.4617;sp=2;sf=7;rx_timestamp=2072769193; rssi=-115; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:40:20.135163;817;H=73;T=27;Hs=72.1767;sp=2;sf=7;rx_timestamp=2158305080; rssi=-109; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:41:45.683281;821;H=74;T=26;Hs=71.8917;sp=2;sf=7;rx_timestamp=2243872968; rssi=-112; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:43:11.148822;825;H=73;T=26;Hs=72.35483;sp=2;sf=7;rx_timestamp=2329425873; rssi=-115; snr=-4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:44:37.088947;829;H=77;T=27;Hs=71.82045;sp=2;sf=7;rx_timestamp=2414963753; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:46:04.744426;833;H=75;T=27;Hs=71.71358;sp=2;sf=7;rx_timestamp=2502598636; rssi=-114; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:47:30.072196;837;H=74;T=27;Hs=71.96295;sp=2;sf=7;rx_timestamp=2588139507; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:48:55.624956;841;H=74;T=27;Hs=72.0342;sp=2;sf=7;rx_timestamp=2673680346; rssi=-113; snr=-3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:50:21.667615;845;H=76;T=27;Hs=71.7492;sp=2;sf=7;rx_timestamp=2759220212; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:51:46.599158;849;H=75;T=27;Hs=71.42858;sp=2;sf=7;rx_timestamp=2844759125; rssi=-117; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:53:12.634609;853;H=75;T=27;Hs=71.53545;sp=2;sf=7;rx_timestamp=2930297998; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:54:38.088159;857;H=72;T=27;Hs=71.35732;sp=2;sf=7;rx_timestamp=3015840862; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:56:03.109330;861;H=74;T=27;Hs=71.42858;sp=2;sf=7;rx_timestamp=3101377747; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:57:28.653209;865;H=73;T=27;Hs=71.1792;sp=2;sf=7;rx_timestamp=3186919588; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:58:54.164453;869;H=72;T=27;Hs=71.39295;sp=2;sf=7;rx_timestamp=3272512488; rssi=-109; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:00:19.591229;873;H=73;T=27;Hs=71.21482;sp=2;sf=7;rx_timestamp=3358049364; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:01:45.601990;877;H=73;T=27;Hs=71.07232;sp=2;sf=7;rx_timestamp=3443652245; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:03:11.624965;881;H=73;T=27;Hs=71.00107;sp=2;sf=7;rx_timestamp=3529185119; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:04:36.615580;885;H=72;T=27;Hs=71.21482;sp=2;sf=7;rx_timestamp=3614727002; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:06:02.122971;889;H=74;T=27;Hs=70.96544;sp=2;sf=7;rx_timestamp=3700260884; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:07:28.187924;893;H=75;T=27;Hs=70.7517;sp=2;sf=7;rx_timestamp=3785797713; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:08:53.085302;897;H=71;T=27;Hs=71.21482;sp=2;sf=7;rx_timestamp=3871328639; rssi=-110; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:10:18.616726;901;H=72;T=26;Hs=71.21482;sp=2;sf=7;rx_timestamp=3956863521; rssi=-109; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:11:44.138090;905;H=73;T=26;Hs=71.0367;sp=2;sf=7;rx_timestamp=4042394370; rssi=-112; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:13:09.600772;909;H=74;T=27;Hs=71.00107;sp=2;sf=7;rx_timestamp=4127941293; rssi=-109; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;913;H=72;T=26;Hs=70.82294;sp=2;sf=7;rx_timestamp=4213476188; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:16:01.156897;917;H=73;T=27;Hs=70.64482;sp=2;sf=7;rx_timestamp=4037782; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 14:17:26.587065;921;H=72;T=27;Hs=70.82294;sp=2;sf=7;rx_timestamp=89571654; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
