2024-07-04 13:14:13.606893;744;H=67;T=28;Hs=73.95796;sp=20;sf=12;rx_timestamp=592001081; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:14:34.078014;745;H=67;T=28;Hs=73.95796;sp=2;sf=7;rx_timestamp=612257033; rssi=-111; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:14:57.609252;746;H=67;T=28;Hs=73.95796;sp=2;sf=12;rx_timestamp=635298008; rssi=-110; snr=-1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:15:16.103918;747;H=67;T=28;Hs=73.95796;sp=20;sf=7;rx_timestamp=654494043; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:15:39.556340;748;H=67;T=28;Hs=73.95796;sp=20;sf=12;rx_timestamp=677536019; rssi=-97; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:15:59.606083;749;H=71;T=28;Hs=73.53046;sp=2;sf=7;rx_timestamp=697796983; rssi=-111; snr=-2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:16:23.066260;750;H=71;T=28;Hs=73.53046;sp=2;sf=12;rx_timestamp=720839946; rssi=-110; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:16:41.545152;751;H=71;T=28;Hs=73.53046;sp=20;sf=7;rx_timestamp=740033987; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:17:05.090282;752;H=71;T=28;Hs=73.53046;sp=20;sf=12;rx_timestamp=763078962; rssi=-97; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:17:25.217205;753;H=71;T=27;Hs=73.49483;sp=2;sf=7;rx_timestamp=783335907; rssi=-110; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:17:48.597059;754;H=71;T=27;Hs=73.49483;sp=2;sf=12;rx_timestamp=806377871; rssi=-109; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:18:07.602875;755;H=71;T=27;Hs=73.49483;sp=20;sf=7;rx_timestamp=825587906; rssi=-95; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:18:30.545772;756;H=71;T=27;Hs=73.49483;sp=20;sf=12;rx_timestamp=848629880; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:18:51.101870;757;H=69;T=27;Hs=73.49483;sp=2;sf=7;rx_timestamp=868886817; rssi=-111; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:19:13.551318;758;H=69;T=27;Hs=73.49483;sp=2;sf=12;rx_timestamp=891929783; rssi=-109; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;759;H=69;T=27;Hs=73.49483;sp=20;sf=7;rx_timestamp=911123818; rssi=-96; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:19:56.599451;760;H=69;T=27;Hs=73.49483;sp=20;sf=12;rx_timestamp=934166782; rssi=-96; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-04 13:20:18.135176;761;H=70;T=27;Hs=73.74421;sp=2;sf=7;rx_timestamp=956521725; rssi=-110; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
