2024-07-02 09:09:39.636362;54;H=60;T=33;Hs=34.7346;sp=2;sf=12;rx_timestamp=94004655; rssi=-115; snr=-4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:12:30.636228;62;H=56;T=34;Hs=33.77271;sp=2;sf=12;rx_timestamp=265057768; rssi=-115; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:13:55.616556;66;H=55;T=35;Hs=33.48771;sp=2;sf=12;rx_timestamp=350581710; rssi=-111; snr=-0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:19:42.111681;82;H=39;T=40;Hs=31.84895;sp=2;sf=12;rx_timestamp=696871974; rssi=-113; snr=-2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:22:33.666953;90;H=39;T=41;Hs=31.38582;sp=2;sf=12;rx_timestamp=867925462; rssi=-119; snr=-6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:23:58.605760;94;H=38;T=41;Hs=31.27895;sp=2;sf=12;rx_timestamp=953464173; rssi=-110; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:25:25.641012;98;H=40;T=41;Hs=31.13644;sp=2;sf=12;rx_timestamp=1039002871; rssi=-111; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;102;H=38;T=40;Hs=30.81582;sp=2;sf=12;rx_timestamp=1124691241; rssi=-111; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:28:15.663030;106;H=41;T=39;Hs=30.38831;sp=2;sf=12;rx_timestamp=1210220906; rssi=-113; snr=0.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:29:41.594460;110;H=41;T=40;Hs=30.13894;sp=2;sf=12;rx_timestamp=1295750579; rssi=-112; snr=1.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-02 09:31:06.624852;114;H=37;T=41;Hs=29.96081;sp=2;sf=12;rx_timestamp=1381275237; rssi=-112; snr=2.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
