2024-07-05 09:33:56.555185;87;H=46;T=37;Hs=64.2679;sp=20;sf=7;rx_timestamp=957454133; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:34:19.632150;88;H=46;T=37;Hs=64.2679;sp=20;sf=12;rx_timestamp=980328415; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:35:21.606275;91;H=53;T=36;Hs=64.37478;sp=20;sf=7;rx_timestamp=1042976904; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:35:45.125316;92;H=53;T=36;Hs=64.37478;sp=20;sf=12;rx_timestamp=1066016822; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:36:47.609741;95;H=53;T=34;Hs=64.1254;sp=20;sf=7;rx_timestamp=1128503566; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:38:14.074724;99;H=51;T=36;Hs=63.91165;sp=20;sf=7;rx_timestamp=1214058324; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:38:36.107726;100;H=51;T=36;Hs=63.91165;sp=20;sf=12;rx_timestamp=1237097273; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:39:38.093238;103;H=49;T=38;Hs=63.80477;sp=20;sf=7;rx_timestamp=1299586058; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:40:01.637502;104;H=49;T=38;Hs=63.80477;sp=20;sf=12;rx_timestamp=1322627964; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:41:04.130379;107;H=50;T=38;Hs=63.9829;sp=20;sf=7;rx_timestamp=1385115706; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:41:27.567919;108;H=50;T=38;Hs=63.9829;sp=20;sf=12;rx_timestamp=1408155611; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:42:30.147986;111;H=47;T=39;Hs=63.80477;sp=20;sf=7;rx_timestamp=1470639435; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:42:53.093033;112;H=47;T=39;Hs=63.80477;sp=20;sf=12;rx_timestamp=1493678339; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:43:55.594215;115;H=48;T=37;Hs=63.62665;sp=20;sf=7;rx_timestamp=1556170129; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:44:18.621714;116;H=48;T=37;Hs=63.62665;sp=20;sf=12;rx_timestamp=1579211031; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:45:21.132898;119;H=51;T=35;Hs=63.4129;sp=20;sf=7;rx_timestamp=1641694760; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:45:44.145783;120;H=51;T=35;Hs=63.4129;sp=20;sf=12;rx_timestamp=1664734670; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:47:09.600017;124;H=54;T=35;Hs=63.30602;sp=20;sf=12;rx_timestamp=1750261402; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:48:11.584357;127;H=52;T=35;Hs=63.59102;sp=20;sf=7;rx_timestamp=1812767181; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:48:35.136806;128;H=52;T=35;Hs=63.59102;sp=20;sf=12;rx_timestamp=1835808093; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:49:37.625491;131;H=57;T=33;Hs=63.2704;sp=20;sf=7;rx_timestamp=1898293822; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:50:00.651780;132;H=57;T=33;Hs=63.2704;sp=20;sf=12;rx_timestamp=1921336727; rssi=-106; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:50:20.615351;133;H=59;T=33;Hs=63.19915;sp=2;sf=7;rx_timestamp=1941593664; rssi=-123; snr=-9.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:50:43.653750;134;H=59;T=33;Hs=63.19915;sp=2;sf=12;rx_timestamp=1964633563; rssi=-122; snr=-8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:51:03.151242;135;H=59;T=33;Hs=63.19915;sp=20;sf=7;rx_timestamp=1983829543; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:51:26.087548;136;H=59;T=33;Hs=63.19915;sp=20;sf=12;rx_timestamp=2006870453; rssi=-108; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:52:28.604422;139;H=52;T=35;Hs=62.73602;sp=20;sf=7;rx_timestamp=2069363227; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:52:51.636221;140;H=52;T=35;Hs=62.73602;sp=20;sf=12;rx_timestamp=2092405127; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:53:56.129031;143;H=47;T=38;Hs=63.05665;sp=20;sf=7;rx_timestamp=2156989876; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
2024-07-05 09:54:19.151408;144;H=47;T=38;Hs=63.05665;sp=20;sf=12;rx_timestamp=2180030778; rssi=-106; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=10;obst=0
