0000;23;H=62;T=34;Hs=67.43855;sp=20;sf=7;rx_timestamp=7963754; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:18:14.618017;43;H=57;T=35;Hs=66.51229;sp=20;sf=7;rx_timestamp=14560754; rssi=-104; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:19:39.086204;47;H=54;T=36;Hs=66.19167;sp=20;sf=7;rx_timestamp=100086956; rssi=-106; snr=-0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:21:04.611422;51;H=53;T=36;Hs=65.58603;sp=20;sf=7;rx_timestamp=185613989; rssi=-108; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:22:31.064744;55;H=49;T=38;Hs=65.94229;sp=20;sf=7;rx_timestamp=271138930; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:24:26.520056;59;H=46;T=39;Hs=65.47916;sp=20;sf=7;rx_timestamp=379705761; rssi=-106; snr=3.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:25:23.582716;63;H=48;T=38;Hs=65.51479;sp=20;sf=7;rx_timestamp=444284647; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:26:49.115699;67;H=45;T=38;Hs=65.08728;sp=20;sf=7;rx_timestamp=529810458; rssi=-103; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:28:14.376813;71;H=44;T=39;Hs=65.12291;sp=20;sf=7;rx_timestamp=615351235; rssi=-106; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:29:39.575283;75;H=45;T=39;Hs=64.62415;sp=20;sf=7;rx_timestamp=700877993; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:31:05.622998;79;H=45;T=39;Hs=64.58853;sp=20;sf=7;rx_timestamp=786402736; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:32:31.135725;83;H=46;T=39;Hs=64.69541;sp=20;sf=7;rx_timestamp=871929450; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:33:56.555185;87;H=46;T=37;Hs=64.2679;sp=20;sf=7;rx_timestamp=957454133; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:35:21.606275;91;H=53;T=36;Hs=64.37478;sp=20;sf=7;rx_timestamp=1042976904; rssi=-108; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:36:47.609741;95;H=53;T=34;Hs=64.1254;sp=20;sf=7;rx_timestamp=1128503566; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:38:14.074724;99;H=51;T=36;Hs=63.91165;sp=20;sf=7;rx_timestamp=1214058324; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:39:38.093238;103;H=49;T=38;Hs=63.80477;sp=20;sf=7;rx_timestamp=1299586058; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:41:04.130379;107;H=50;T=38;Hs=63.9829;sp=20;sf=7;rx_timestamp=1385115706; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:42:30.147986;111;H=47;T=39;Hs=63.80477;sp=20;sf=7;rx_timestamp=1470639435; rssi=-108; snr=2.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:43:55.594215;115;H=48;T=37;Hs=63.62665;sp=20;sf=7;rx_timestamp=1556170129; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:45:21.132898;119;H=51;T=35;Hs=63.4129;sp=20;sf=7;rx_timestamp=1641694760; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
0000;123;H=54;T=35;Hs=63.30602;sp=20;sf=7;rx_timestamp=1727220486; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:48:11.584357;127;H=52;T=35;Hs=63.59102;sp=20;sf=7;rx_timestamp=1812767181; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:49:37.625491;131;H=57;T=33;Hs=63.2704;sp=20;sf=7;rx_timestamp=1898293822; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
2024-07-05 09:51:03.151242;135;H=59;T=33;Hs=63.19915;sp=20;sf=7;rx_timestamp=1983829543; rssi=-106; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0
